goos: darwin
goarch: arm64
pkg: github.com/perfectgentlemande/go-semaphore-vs-worker-pool
BenchmarkDeactivateUsers/input_size_10_goroutines_count_1000-10      	  203804	      5747 ns/op	    2760 B/op	      26 allocs/op
BenchmarkDeactivateUsers/input_size_10_goroutines_count_1000-10      	  200001	      5813 ns/op	    2760 B/op	      26 allocs/op
BenchmarkDeactivateUsers/input_size_10_goroutines_count_1000-10      	  200869	      5709 ns/op	    2760 B/op	      26 allocs/op
BenchmarkDeactivateUsers/input_size_100_goroutines_count_1000-10     	   23263	     47991 ns/op	   25832 B/op	     206 allocs/op
BenchmarkDeactivateUsers/input_size_100_goroutines_count_1000-10     	   25168	     51681 ns/op	   25832 B/op	     206 allocs/op
BenchmarkDeactivateUsers/input_size_100_goroutines_count_1000-10     	   22879	     46677 ns/op	   25832 B/op	     206 allocs/op
BenchmarkDeactivateUsers/input_size_100_goroutines_count_1000-10     	   23853	     50452 ns/op	   25832 B/op	     206 allocs/op
BenchmarkDeactivateUsers/input_size_100_goroutines_count_1000-10     	   23576	     50950 ns/op	   25832 B/op	     206 allocs/op
BenchmarkDeactivateUsers/input_size_100_goroutines_count_1000-10     	   25258	     49976 ns/op	   25832 B/op	     206 allocs/op
BenchmarkDeactivateUsers/input_size_100_goroutines_count_1000-10     	   25100	     47208 ns/op	   25832 B/op	     206 allocs/op
BenchmarkDeactivateUsers/input_size_100_goroutines_count_1000-10     	   23983	     48389 ns/op	   25832 B/op	     206 allocs/op
BenchmarkDeactivateUsers/input_size_100_goroutines_count_1000-10     	   25898	     48890 ns/op	   25832 B/op	     206 allocs/op
BenchmarkDeactivateUsers/input_size_100_goroutines_count_1000-10     	   23823	     48962 ns/op	   25832 B/op	     206 allocs/op
BenchmarkDeactivateUsers/input_size_1000_goroutines_count_1000-10    	    2402	    526083 ns/op	  243368 B/op	    2006 allocs/op
BenchmarkDeactivateUsers/input_size_1000_goroutines_count_1000-10    	    2202	    492826 ns/op	  243368 B/op	    2006 allocs/op
BenchmarkDeactivateUsers/input_size_1000_goroutines_count_1000-10    	    3224	    445510 ns/op	  243368 B/op	    2006 allocs/op
BenchmarkDeactivateUsers/input_size_1000_goroutines_count_1000-10    	    2696	    467926 ns/op	  243368 B/op	    2006 allocs/op
BenchmarkDeactivateUsers/input_size_1000_goroutines_count_1000-10    	    2510	    544979 ns/op	  243368 B/op	    2006 allocs/op
BenchmarkDeactivateUsers/input_size_1000_goroutines_count_1000-10    	    2732	    527836 ns/op	  243368 B/op	    2006 allocs/op
BenchmarkDeactivateUsers/input_size_1000_goroutines_count_1000-10    	    2382	    510479 ns/op	  243368 B/op	    2006 allocs/op
BenchmarkDeactivateUsers/input_size_1000_goroutines_count_1000-10    	    2310	    470189 ns/op	  243368 B/op	    2006 allocs/op
BenchmarkDeactivateUsers/input_size_1000_goroutines_count_1000-10    	    2906	    598826 ns/op	  243368 B/op	    2006 allocs/op
BenchmarkDeactivateUsers/input_size_1000_goroutines_count_1000-10    	    2870	    582278 ns/op	  243368 B/op	    2006 allocs/op
BenchmarkDeactivateUsers/input_size_10000_goroutines_count_1000-10   	     284	   4523555 ns/op	 2406440 B/op	   20006 allocs/op
BenchmarkDeactivateUsers/input_size_10000_goroutines_count_1000-10   	     240	   4268217 ns/op	 2406440 B/op	   20006 allocs/op
BenchmarkDeactivateUsers/input_size_10000_goroutines_count_1000-10   	     253	   4592171 ns/op	 2406441 B/op	   20006 allocs/op
BenchmarkDeactivateUsers/input_size_10000_goroutines_count_1000-10   	     318	   4900860 ns/op	 2406441 B/op	   20006 allocs/op
BenchmarkDeactivateUsers/input_size_10000_goroutines_count_1000-10   	     236	   4333130 ns/op	 2406441 B/op	   20006 allocs/op
BenchmarkDeactivateUsers/input_size_10000_goroutines_count_1000-10   	     249	   4139267 ns/op	 2406440 B/op	   20006 allocs/op
BenchmarkDeactivateUsers/input_size_10000_goroutines_count_1000-10   	     266	   4246765 ns/op	 2406440 B/op	   20006 allocs/op
BenchmarkDeactivateUsers/input_size_10000_goroutines_count_1000-10   	     243	   5184307 ns/op	 2406440 B/op	   20006 allocs/op
BenchmarkDeactivateUsers/input_size_10000_goroutines_count_1000-10   	     266	   3851792 ns/op	 2406440 B/op	   20006 allocs/op
BenchmarkDeactivateUsers/input_size_10000_goroutines_count_1000-10   	     326	   3961624 ns/op	 2406440 B/op	   20006 allocs/op
BenchmarkDeactivateUsers/input_size_100000_goroutines_count_1000-10  	      18	  68333613 ns/op	24004392 B/op	  200006 allocs/op
BenchmarkDeactivateUsers/input_size_100000_goroutines_count_1000-10  	      16	  67029003 ns/op	24004398 B/op	  200006 allocs/op
BenchmarkDeactivateUsers/input_size_100000_goroutines_count_1000-10  	      18	  66950750 ns/op	24004392 B/op	  200006 allocs/op
BenchmarkDeactivateUsers/input_size_100000_goroutines_count_1000-10  	      19	  67939794 ns/op	24004392 B/op	  200006 allocs/op
BenchmarkDeactivateUsers/input_size_100000_goroutines_count_1000-10  	      19	  68625375 ns/op	24004392 B/op	  200006 allocs/op
BenchmarkDeactivateUsers/input_size_100000_goroutines_count_1000-10  	      15	  66868467 ns/op	24004392 B/op	  200006 allocs/op
BenchmarkDeactivateUsers/input_size_100000_goroutines_count_1000-10  	      18	  63378262 ns/op	24004392 B/op	  200006 allocs/op
BenchmarkDeactivateUsers/input_size_100000_goroutines_count_1000-10  	      18	  68459088 ns/op	24004392 B/op	  200006 allocs/op
BenchmarkDeactivateUsers/input_size_100000_goroutines_count_1000-10  	      16	  68992974 ns/op	24004392 B/op	  200006 allocs/op
BenchmarkDeactivateUsers/input_size_100000_goroutines_count_1000-10  	      16	  65148115 ns/op	24004392 B/op	  200006 allocs/op
PASS
ok  	github.com/perfectgentlemande/go-semaphore-vs-worker-pool/semaphore	316.266s
